id,hash,entry_id,repeat,of3b,cf2b,cf3b,ef3b,af1b,of1,of2,of5,cf3,cf5,ef2,ef4,ef5,af1,af3,af6,nf1,nf4,nf6,model,input_tokens,output_tokens
1,d7747fd2d2476b766c5a5983cc7d73f6f2721b06ce2a7733b0a03db27ad667ad,9,0,8,5,5,5,2,6,8,7,4,4,3,6,3,3,2,5,3,7,4,gpt-5-mini-2025-08-07,1323,902
2,d7747fd2d2476b766c5a5983cc7d73f6f2721b06ce2a7733b0a03db27ad667ad,9,1,8,5,5,5,2,6,8,7,4,5,4,5,4,3,2,2,3,4,3,gpt-5-mini-2025-08-07,1002,902
3,d7747fd2d2476b766c5a5983cc7d73f6f2721b06ce2a7733b0a03db27ad667ad,9,2,7,6,6,5,2,5,8,7,5,6,3,6,4,3,2,3,2,4,2,gpt-5-mini-2025-08-07,938,902
4,b66cceeb6b23f1196ed8398aae7600dd7a2e78b569676f396f5f792902200e7d,10,0,7,6,6,5,5,2,8,7,6,5,7,6,3,4,3,6,3,6,3,gpt-5-mini-2025-08-07,1006,957
5,b66cceeb6b23f1196ed8398aae7600dd7a2e78b569676f396f5f792902200e7d,10,1,7,5,6,4,4,3,8,7,5,6,6,6,3,3,4,3,2,3,3,gpt-5-mini-2025-08-07,1258,957
6,b66cceeb6b23f1196ed8398aae7600dd7a2e78b569676f396f5f792902200e7d,10,2,7,5,5,4,4,3,8,7,4,5,6,5,3,4,3,6,3,5,3,gpt-5-mini-2025-08-07,1002,957
7,999f17c2ed8fabc3fe6b07c27e90c9050db12569de6d4dd3442fb59f37685fd5,11,0,7,5,6,4,5,4,8,7,5,5,3,5,2,4,3,4,5,4,5,gpt-5-mini-2025-08-07,1074,1168
8,999f17c2ed8fabc3fe6b07c27e90c9050db12569de6d4dd3442fb59f37685fd5,11,1,8,6,6,5,6,5,8,7,6,6,4,6,2,4,4,6,5,6,5,gpt-5-mini-2025-08-07,938,1168
9,999f17c2ed8fabc3fe6b07c27e90c9050db12569de6d4dd3442fb59f37685fd5,11,2,8,5,6,5,5,5,8,6,5,5,4,6,3,4,3,6,6,6,5,gpt-5-mini-2025-08-07,1003,1168
10,9d6e9ef871683a07118a465895ff348ee6ac3b3176b943dc921395f211e043a9,5,0,8,6,5,4,4,7,6,8,4,4,3,5,3,3,3,4,4,3,4,gpt-5-mini-2025-08-07,1002,911
11,9d6e9ef871683a07118a465895ff348ee6ac3b3176b943dc921395f211e043a9,5,1,8,5,5,4,6,4,6,7,5,5,3,5,3,3,4,5,5,4,4,gpt-5-mini-2025-08-07,1130,911
