id,hash,language,author_name,author_age,author_sex,receiver_sex,text_raw_numtokens,year,month,day,text_type
2,8718188c022d7edec1d87049bfa96777c8de7520e2898bf809dcf7f8958e53cd,en,George Orwell,18,m,m,579,1920,8,19,letter
115,02535e85e8619191b99b7ea1cfe4f5f11a593bbb6724a84319651ad6c4f794f5,en,George Orwell,41,m,m,218,1943,8,31,letter
4,da64bd603d6f567475b19092f53190b4d3cf6fabaee1963c5be03e339d8f5c9a,en,George Orwell,29,m,m,748,1931,8,16,letter
236,d3a3af2c0ce80b580c5cfdea82f0abadfffed34f900021182910c096085f0307,en,George Orwell,45,m,f,228,1948,4,28,letter
13,35e755faa71139c41773d37c5bf13e5ec2cdd6806f552344ba1e45a009be88d9,en,George Orwell,32,m,f,1068,1934,8,,letter
16,45b755549459151cf54556d45c441f3abb29619cbfc0a3c6ecdbef5f3243bad2,en,George Orwell,32,m,m,1405,1934,10,9,letter
290,49b619270013c2de545fc402fa5b108b691a1badf8c7f569c43a84cad613e9e4,en,George Orwell,47,m,m,258,1949,6,22,letter
22,fd2811ce1e967af4bf09e5a6b54f88e8eaf0adaaee0c66efd96095bd5120391b,en,George Orwell,32,m,f,577,1935,1,15,letter
23,4c9c94c200591a2aca1e03ea2deca21a61c9af47c6cf483e745c95479ffab7b2,en,George Orwell,32,m,f,632,1935,2,16,letter
24,630e629238e1a7961f81c36cba953e54d40bc804878d7512e11fc7815f13ea00,en,George Orwell,32,m,f,1030,1935,5,7,letter
75,9b3d8f7796462f3f15c7f620dad4063896f361b71a8c07dbf16101cfcb0aa31a,en,George Orwell,36,m,m,914,1939,2,23,letter
292,bf844a2963cdfa4630fbd07cd31cc8092f6ada793386454c1640a8eb263c0421,en,George Orwell,47,m,m,568,1949,7,20,letter
293,291610e63e44467f2b93036c7783888d8f56234e415f9cca59d6ce6ea412ff05,en,George Orwell,47,m,m,242,1949,7,,letter
12,ed6db479188effd058ec44e1e0281ff8476c00e797ba6e8e8bed35ab8e1f061f,en,George Orwell,31,m,f,436,1933,7,20,letter
29,928910ffa5321f76ae4ba36ef5f6db5a04d91e7b35baa6599f3a0560c5281594,en,George Orwell,33,m,m,788,1936,4,16,letter
286,6e76dd97e4675de3dd554a261ae7e8021f492a8e8aaea8efdf38223e3286da4c,en,George Orwell,47,m,m,329,1949,6,1,letter
30,3a98251f6f6cf8955fcb7c8c92a59fa3b2df36ac9323f16cb5108a9232c31841,en,George Orwell,33,m,m,589,1936,5,23,letter
287,0d83b9c3ec8d4d160e29d67dfbb7f607ab86117eee8c0046519f51c4752d5e52,en,George Orwell,47,m,m,266,1949,6,6,letter
288,5d17e17f2a8b2931930e112a47a8cf220ff1b2fe84b7ddab9f86a72295a1ad67,en,George Orwell,47,m,m,169,1949,6,8,letter
289,9701ed8a4549dcbc3b61e76b43b51654f564a7d482bdf54d26ffc1a6bd923a23,en,George Orwell,47,m,m,398,1949,6,16,letter
46,a24df182b8f1d6c3061aedb5235dae6dc63dbca58199bf9a114d8f5dd308cbd2,en,George Orwell,35,m,m,1469,1937,12,18,letter
48,4c8a2ed88719d614da4d2755990b22133377347cb3781ff5b390a9a775c66773,en,George Orwell,35,m,m,1634,1938,2,9,letter
49,5cf06a603e8bfe371cf1762726fac70f297861c03e7f6b436a8a8d69a04a7698,en,George Orwell,35,m,m,659,1938,3,14,letter
116,de6f629f005ec44ed349a23f17befcb0b3847f743f0c58b6e3bab139913fff18,en,George Orwell,41,m,m,381,1943,9,24,letter
138,d177ffe09915061717a88e836e7b049d0492d009e57573b312a661d8607b41e2,en,George Orwell,42,m,m,260,1945,3,17,letter
51,a5f092f04b1b7d20803e7e2f4d5b9f9c892a56535e25b2531ac1f21cb0b92094,en,George Orwell,35,m,m,670,1938,4,15,letter
57,e4733f37d930372bafc71ecceb011b6ddd2df9686671c5f1e72e68d9235c2a23,en,George Orwell,36,m,f,1552,1938,9,15,letter
72,485a07c1eac9452a7c6f437006dd752d09cc36c13a9d0a40ff852c801c85111e,en,George Orwell,36,m,m,835,1939,1,4,letter
152,2ae0093cf8635621b55e712f97dd82e9473193c3725bfb1aa820601735a33726,en,George Orwell,43,m,f,334,1945,9,26,letter
14,be6e290d4b2f7e11bb0c22a42767c9f33c9fceaa1a7ef84706cfe1060c69a53e,en,George Orwell,32,m,f,925,1934,9,,letter
81,35f07f7b135719c7117c8f10a9242e3b3e07eea6c3d8064bf895436a0bb1fc65,en,George Orwell,36,m,f,120,1939,3,31,letter
82,52a53633299c40da53308cce2dfbfe8e5a6d2266a9fffd06b9b5c4e07c60c058,en,George Orwell,36,m,m,622,1939,4,25,letter
225,0790c4b0213f2415db6ba49f614bed675d105b69ef105be895ce49eb5e0fbe90,en,George Orwell,45,m,m,244,1948,2,,letter
