essay_id,o_v10,c_v10,e_v10,a_v10,n_v10
1,4.13333333333333,3.6,6,5.36666666666667,4.13333333333333
2,4.66666666666667,3.33333333333333,4.36666666666667,5.63333333333333,4.13333333333333
3,6.76666666666667,2.66666666666667,4.66666666666667,3.66666666666667,5.8
4,4.33333333333333,4.53333333333333,6.46666666666667,5.93333333333333,5.83333333333333
5,4.63333333333333,3.83333333333333,6.76666666666667,4.86666666666667,4.26666666666667
6,7.73333333333333,3.03333333333333,4.9,5.7,5.9
7,4.76666666666667,2.96666666666667,5.23333333333333,4.43333333333333,4.06666666666667
8,5.23333333333333,2.83333333333333,5.9,2.5,5.33333333333333
9,3.56666666666667,3.33333333333333,6.23333333333333,3.36666666666667,6.93333333333333
10,4.26666666666667,3.8,5.9,5.16666666666667,5.7
11,3.8,3.73333333333333,3.3,3.7,4.3
12,6.93333333333333,4.66666666666667,5.3,4.83333333333333,4.93333333333333
13,4.9,3.5,5,6,4.8
14,5.93333333333333,2.7,7.36666666666667,4.46666666666667,5.5
15,3.53333333333333,2.5,5.1,4.26666666666667,3.6
16,2.46666666666667,3.5,4.9,2.36666666666667,4.86666666666667
17,7.96666666666667,5.56666666666667,5.5,3.93333333333333,3.66666666666667
18,6.4,2.9,4.36666666666667,5.46666666666667,4.06666666666667
19,4.23333333333333,6.7,5.03333333333333,5.03333333333333,2.3
20,6.36666666666667,3.13333333333333,3.43333333333333,4.56666666666667,6.2
21,3.3,5.7,4.7,5.6,5.96666666666667
22,4.96666666666667,4.33333333333333,6.23333333333333,4.46666666666667,7.7
23,3.7,4.53333333333333,6.23333333333333,7.1,4.16666666666667
24,5.13333333333333,4.66666666666667,5.5,4.06666666666667,5.86666666666667
25,3.93333333333333,5.83333333333333,6.5,6.1,4.7
26,4.96666666666667,4.63333333333333,5.13333333333333,6.56666666666667,4.63333333333333
27,2.63333333333333,4.1,6.4,4.5,4.43333333333333
28,7.13333333333333,3.4,5.2,5.03333333333333,4.9
29,6.23333333333333,3.23333333333333,3.66666666666667,5.46666666666667,7.46666666666667
30,4.83333333333333,3.73333333333333,5.46666666666667,6.06666666666667,6.8
31,3.63333333333333,3.56666666666667,4.8,6.4,4.53333333333333
32,3.66666666666667,3,5.1,4.63333333333333,5.83333333333333
33,5.56666666666667,3.63333333333333,4.7,4.73333333333333,7.23333333333333
34,4.1,3.36666666666667,3.2,4.5,6.76666666666667
35,6.7,4.46666666666667,6.26666666666667,4.1,5.06666666666667
36,5.6,4.1,4.6,6.53333333333333,5.23333333333333
37,7.76666666666667,3.4,5.43333333333333,5.5,3.76666666666667
38,5.66666666666667,2.86666666666667,5.8,3.86666666666667,4.9
39,4.8,4.5,6.63333333333333,6.16666666666667,5.03333333333333
40,5.13333333333333,3.86666666666667,6.16666666666667,5.96666666666667,5.13333333333333
41,3.06666666666667,3.4,4.2,3.93333333333333,5.23333333333333
42,7.1,3.16666666666667,5.1,5.06666666666667,6.26666666666667
43,5.06666666666667,4.16666666666667,5.73333333333333,3.16666666666667,5.4
44,6.36666666666667,4.13333333333333,4.9,5.13333333333333,4.23333333333333
45,5.86666666666667,2.43333333333333,6.73333333333333,3.03333333333333,4.96666666666667
46,5.63333333333333,5.83333333333333,5.43333333333333,6.63333333333333,5.1
47,3.36666666666667,2.76666666666667,4.9,2.1,5.46666666666667
48,4.26666666666667,3.53333333333333,5.26666666666667,5.93333333333333,4.96666666666667
49,5.46666666666667,2.93333333333333,7.4,5.26666666666667,4.23333333333333
50,5.6,3.53333333333333,6.53333333333333,5.76666666666667,4.23333333333333
51,6.2,4.26666666666667,6.06666666666667,5.86666666666667,5.86666666666667
52,4.5,5.56666666666667,4.16666666666667,7.23333333333333,4.73333333333333
53,5.8,4.1,3.33333333333333,6.2,5.66666666666667
54,4,5.16666666666667,4.46666666666667,5.1,4.56666666666667
55,3.86666666666667,3,6.73333333333333,3.2,6.46666666666667
56,3.9,3.86666666666667,5.16666666666667,6.33333333333333,4.96666666666667
57,4.36666666666667,5.06666666666667,4.46666666666667,4.93333333333333,3.6
58,4.56666666666667,3.73333333333333,6.5,6.03333333333333,4.06666666666667
59,5.4,5.23333333333333,6.53333333333333,6.7,4.56666666666667
60,6.06666666666667,3.03333333333333,5.7,4.16666666666667,3.93333333333333
61,5.5,7.26666666666667,5.2,5.26666666666667,4.26666666666667
62,4.76666666666667,4.1,6.26666666666667,5,5.63333333333333
63,4.43333333333333,3.8,4.53333333333333,4.86666666666667,6.66666666666667
64,7,4.96666666666667,4.2,5.03333333333333,5.16666666666667
65,4.33333333333333,3.96666666666667,4.56666666666667,5.63333333333333,6.6
