essay_id,o_v4010,c_v4010,e_v4010,a_v4010,n_v4010
1,4.9,5.8,6.6,3.93333333333333,5.1
2,3.33333333333333,3.23333333333333,4.2,5.33333333333333,5.43333333333333
3,5.6,3.7,4.16666666666667,4.03333333333333,6.5
4,5,6.66666666666667,7.06666666666667,5.1,5.36666666666667
5,4.06666666666667,5.36666666666667,5.56666666666667,5.5,5.8
6,7.2,4.13333333333333,5.66666666666667,5.7,5.9
7,4.36666666666667,4.33333333333333,4.56666666666667,5.03333333333333,4.8
8,4.73333333333333,5.06666666666667,4.5,3.56666666666667,5.9
9,4.46666666666667,2.56666666666667,5.56666666666667,5.4,7
10,5.13333333333333,5.3,6.73333333333333,5.56666666666667,6.46666666666667
11,2.8,4.33333333333333,1.66666666666667,4.56666666666667,5
12,5.03333333333333,6.8,3.63333333333333,3.86666666666667,5.46666666666667
13,4.83333333333333,4.53333333333333,6.1,6.06666666666667,5.63333333333333
14,5.75591397849462,3.71290322580645,6.51505376344086,4.4989247311828,4.58172043010753
15,3.53333333333333,3.06666666666667,4.83333333333333,4.13333333333333,3.6
16,4.06666666666667,4.46666666666667,4.16666666666667,4.43333333333333,6.63333333333333
17,5.26666666666667,6.03333333333333,3.36666666666667,2.6,4.03333333333333
18,6.23333333333333,2.9,4.76666666666667,4.6,3.76666666666667
19,3.46666666666667,6.33333333333333,3.53333333333333,3.93333333333333,2.93333333333333
20,6.13333333333333,2.5,3.3,5.83333333333333,6.66666666666667
21,4.13333333333333,6.7,5.36666666666667,5.46666666666667,6.53333333333333
22,4.96666666666667,5.8,4.93333333333333,5.66666666666667,7.96666666666667
23,4.6,3.4,6.06666666666667,6.93333333333333,4.33333333333333
24,6.36666666666667,5.33333333333333,6.16666666666667,5.46666666666667,6.56666666666667
25,4.73333333333333,6.23333333333333,6.56666666666667,6.13333333333333,5.73333333333333
26,4.8,6.66666666666667,5.43333333333333,6.66666666666667,5.13333333333333
27,4.2,5.8,7.2,5.03333333333333,3.63333333333333
28,6.76666666666667,3.76666666666667,5.2,5.46666666666667,5.83333333333333
29,4.6,2.9,3.2,5.36666666666667,6.56666666666667
30,4.7,4.16666666666667,6.5,6.03333333333333,7.6
31,4.56666666666667,4.06666666666667,5.46666666666667,5.53333333333333,4.46666666666667
32,3.2,4.53333333333333,5.03333333333333,4.96666666666667,5.26666666666667
33,3.76666666666667,3.16666666666667,3.53333333333333,4.66666666666667,7.46666666666667
34,5.53333333333333,4.7,3.23333333333333,5.5,7.03333333333333
35,5.36666666666667,4.9,6.53333333333333,4.6,5.53333333333333
36,5.26666666666667,5.76666666666667,5.76666666666667,6.43333333333333,5.46666666666667
37,6.4,4.93333333333333,4.5,4.13333333333333,4.33333333333333
38,5,3.93333333333333,5.3,4.53333333333333,5.83333333333333
39,4.8,6.7,5.1,5.5,4.83333333333333
40,5,3.03333333333333,5.46666666666667,4.46666666666667,4.6
41,3.66666666666667,5.33333333333333,2.46666666666667,4.33333333333333,6.46666666666667
42,6.86666666666667,3.3,5.03333333333333,4.76666666666667,6.06666666666667
43,5.73333333333333,6.36666666666667,5.36666666666667,3.16666666666667,5.66666666666667
44,3.93333333333333,5.8,3.93333333333333,5.23333333333333,4.46666666666667
45,5.43333333333333,3.06666666666667,6.56666666666667,4.13333333333333,6.23333333333333
46,5.4,6.73333333333333,5.6,6.26666666666667,4.9
47,4,5.06666666666667,2.23333333333333,4.16666666666667,5.96666666666667
48,4.5,4.93333333333333,5.03333333333333,6.03333333333333,6.1
49,6.2,1.96666666666667,7.56666666666667,4.4,3.13333333333333
50,5.26666666666667,4.46666666666667,6.2,6,5.3
