id,essay_id,of1,of2,of3,cf1,cf2,cf3,ef1,ef2,ef3,af1,af2,af3,nf1,nf2,nf3,model,temperature,input_tokens,output_tokens
1229,122,6,3,4,3,6,7,7,8,7,6,2,2,7,2,8,gpt-5-mini-2025-08-07,0,631,1513
1230,122,6,2,5,4,6,7,8,7,8,7,3,3,6,3,8,gpt-5-mini-2025-08-07,0,759,1513
1231,122,6,2,4,4,6,7,7,8,7,6,3,2,6,2,8,gpt-5-mini-2025-08-07,0,680,1513
1232,122,5,2,4,2,6,7,8,8,8,6,3,3,7,3,8,gpt-5-mini-2025-08-07,0,744,1513
1233,122,5,2,4,4,6,7,7,8,7,6,3,3,7,3,8,gpt-5-mini-2025-08-07,0,759,1513
1234,122,5,2,3,3,6,7,7,8,8,6,3,2,6,2,8,gpt-5-mini-2025-08-07,0,695,1513
1235,122,7,2,4,5,6,7,7,8,6,6,3,2,7,3,8,gpt-5-mini-2025-08-07,0,951,1513
1236,122,4,2,4,3,7,7,7,7,7,5,2,2,6,3,8,gpt-5-mini-2025-08-07,0,759,1513
1237,122,5,3,4,5,6,7,7,8,7,6,3,2,7,2,8,gpt-5-mini-2025-08-07,0,631,1513
1238,122,6,2,4,5,6,7,8,7,8,5,3,3,6,2,8,gpt-5-mini-2025-08-07,0,759,1513
1239,123,4,4,3,5,5,7,6,3,7,7,8,7,5,2,5,gpt-5-mini-2025-08-07,0,631,891
1240,123,4,4,3,5,7,7,6,4,7,7,8,8,5,2,5,gpt-5-mini-2025-08-07,0,887,891
1241,123,4,4,3,3,5,6,6,4,6,7,8,8,6,2,5,gpt-5-mini-2025-08-07,0,631,891
1242,123,3,3,3,3,4,6,7,3,7,6,7,8,6,2,5,gpt-5-mini-2025-08-07,0,616,891
1243,123,3,3,3,3,5,6,7,3,6,7,8,8,6,2,4,gpt-5-mini-2025-08-07,0,823,891
1244,123,3,4,3,5,6,7,6,3,6,7,8,8,6,2,4,gpt-5-mini-2025-08-07,0,887,891
1245,123,4,4,3,2,6,7,7,3,7,6,8,8,6,2,4,gpt-5-mini-2025-08-07,0,823,891
1246,123,4,3,3,4,5,6,6,3,6,6,7,8,6,2,5,gpt-5-mini-2025-08-07,0,631,891
19,10,4,5,4,3,4,5,7,4,6,7,3,5,8,2,6,gpt-5-mini-2025-08-07,0,951,871
20,10,5,5,4,3,3,6,7,3,6,7,4,5,8,3,6,gpt-5-mini-2025-08-07,0,1079,871
21,10,5,5,4,2,3,5,8,6,7,7,4,4,8,2,6,gpt-5-mini-2025-08-07,0,1207,871
22,10,5,5,4,2,4,6,8,6,7,7,3,5,8,4,7,gpt-5-mini-2025-08-07,0,887,871
23,10,4,5,5,2,3,5,8,3,6,7,4,5,8,3,6,gpt-5-mini-2025-08-07,0,1015,871
24,10,4,5,3,3,4,6,7,3,6,7,4,5,8,4,6,gpt-5-mini-2025-08-07,0,823,871
25,10,3,4,3,2,3,5,7,5,6,6,3,5,8,3,6,gpt-5-mini-2025-08-07,0,887,871
26,10,3,5,3,2,4,5,7,4,6,7,4,5,8,3,6,gpt-5-mini-2025-08-07,0,759,871
27,10,3,5,4,3,4,5,6,5,6,7,4,5,8,3,6,gpt-5-mini-2025-08-07,0,823,871
28,10,5,5,4,3,4,5,7,4,6,7,4,5,8,3,6,gpt-5-mini-2025-08-07,0,887,871
29,11,3,3,5,2,3,6,4,3,2,3,3,4,5,3,5,gpt-5-mini-2025-08-07,0,759,980
30,11,2,3,3,2,3,6,4,4,2,3,5,4,6,3,7,gpt-5-mini-2025-08-07,0,859,980
31,11,4,3,6,2,4,6,4,5,2,3,4,5,4,3,5,gpt-5-mini-2025-08-07,0,759,980
32,11,4,3,6,2,4,6,4,3,2,3,4,4,5,2,6,gpt-5-mini-2025-08-07,0,759,980
33,11,4,3,5,2,4,6,4,4,2,3,4,4,6,2,6,gpt-5-mini-2025-08-07,0,695,980
34,11,3,3,5,2,3,5,5,3,2,3,4,5,5,2,5,gpt-5-mini-2025-08-07,0,680,980
35,11,3,4,6,2,4,6,4,4,2,3,4,4,5,2,5,gpt-5-mini-2025-08-07,0,887,980
36,11,3,3,5,2,3,5,4,3,2,3,4,4,5,3,5,gpt-5-mini-2025-08-07,0,631,980
37,11,3,2,5,2,4,6,5,3,3,3,4,5,5,2,6,gpt-5-mini-2025-08-07,0,887,980
38,11,3,4,5,2,3,5,5,3,2,2,3,4,4,2,5,gpt-5-mini-2025-08-07,0,680,980
39,12,8,6,8,2,5,6,5,4,6,4,6,5,8,3,6,gpt-5-mini-2025-08-07,0,744,1215
40,12,8,6,7,3,5,7,5,6,6,4,7,5,8,2,5,gpt-5-mini-2025-08-07,0,759,1215
41,12,8,6,7,2,5,6,5,4,6,3,6,3,7,2,5,gpt-5-mini-2025-08-07,0,887,1215
42,12,7,6,7,2,5,7,6,5,6,3,7,3,8,2,5,gpt-5-mini-2025-08-07,0,823,1215
43,12,7,6,7,2,5,7,4,5,6,5,7,4,8,2,5,gpt-5-mini-2025-08-07,0,759,1215
44,12,8,6,7,2,5,6,5,5,6,3,6,3,7,2,5,gpt-5-mini-2025-08-07,0,823,1215
