id,essay_id,of1,of2,of3,of4,of5,of6,cf1,cf2,cf3,cf4,cf5,cf6,ef1,ef2,ef3,ef4,ef5,ef6,af1,af2,af3,af4,af5,af6,nf1,nf2,nf3,nf4,nf5,nf6,model,temperature,input_tokens,output_tokens
1,1,4,4,7,6,5,6,6,3,5,7,2,4,5,7,4,6,8,7,5,7,4,4,7,5,6,5,4,6,7,6,gpt-5-mini-2025-08-07,0,1256,1294
2,1,2,2,6,6,5,6,4,2,3,7,3,6,6,7,5,6,8,7,3,8,3,4,7,5,6,5,3,6,6,5,gpt-5-mini-2025-08-07,0,1192,1294
3,1,3,2,7,6,4,5,5,2,3,6,2,4,6,7,4,6,7,6,5,7,3,7,3,5,6,4,4,6,7,6,gpt-5-mini-2025-08-07,0,1320,1294
4,1,3,4,7,5,5,5,6,2,3,6,2,6,6,7,4,5,8,6,5,7,3,4,7,6,6,4,3,6,7,7,gpt-5-mini-2025-08-07,0,1256,1294
5,1,5,4,6,5,5,4,5,2,3,6,2,5,5,7,5,6,8,6,4,7,3,4,7,5,6,4,3,5,7,6,gpt-5-mini-2025-08-07,0,1000,1294
6,1,2,3,7,6,6,7,5,3,4,7,3,6,6,8,6,6,8,7,5,8,4,5,7,6,7,5,4,6,7,6,gpt-5-mini-2025-08-07,0,1313,1294
7,1,3,3,7,5,4,6,4,3,4,7,2,5,6,8,5,6,8,7,5,8,3,3,5,4,6,6,4,6,7,7,gpt-5-mini-2025-08-07,0,1448,1294
8,1,4,3,6,5,5,3,6,3,4,6,2,6,5,7,6,5,8,6,4,7,4,4,6,4,5,5,4,6,6,5,gpt-5-mini-2025-08-07,0,1256,1294
9,1,2,3,7,5,6,7,6,3,4,7,3,6,6,7,6,6,8,7,5,8,3,5,4,5,5,4,4,5,7,6,gpt-5-mini-2025-08-07,0,1377,1294
10,1,3,2,6,5,6,6,4,2,2,4,2,4,5,7,5,5,8,6,4,7,3,4,6,4,6,4,4,6,7,6,gpt-5-mini-2025-08-07,0,872,1294
