id,essay_id,of1,of2,of3,of4,of5,of6,cf1,cf2,cf3,cf4,cf5,cf6,ef1,ef2,ef3,ef4,ef5,ef6,af1,af2,af3,af4,af5,af6,nf1,nf2,nf3,nf4,nf5,nf6,model,temperature,input_tokens,output_tokens
1,1,1,1,7,7,6,7,5,3,4,6,3,5,3,7,7,7,8,6,4,8,1,2,4,3,6,4,5,7,5,6,gemini-2.5-flash,0,1385,2292
2,1,1,1,7,7,6,7,5,3,4,6,3,5,3,7,7,7,8,6,4,8,1,2,4,3,6,4,5,7,5,6,gemini-2.5-flash,0,1385,2292
3,1,1,1,7,7,6,7,5,3,4,6,3,5,3,7,7,7,8,6,4,8,1,2,4,3,6,4,5,7,5,6,gemini-2.5-flash,0,1385,2292
4,1,1,1,7,6,7,8,6,5,5,8,3,6,2,6,6,7,8,6,2,8,1,2,5,2,5,3,3,6,4,6,gemini-2.5-flash,0,1385,2440
5,1,1,1,7,7,6,7,5,3,4,6,3,5,3,7,7,7,8,6,4,8,1,2,4,3,6,4,5,7,5,6,gemini-2.5-flash,0,1385,2292
1221,26,1,1,7,4,5,6,6,4,7,8,5,6,8,8,3,4,5,6,5,8,3,7,5,8,8,1,2,8,3,8,gemini-2.5-flash,0.8,1212,2380
1223,26,1,1,7,5,6,8,7,5,8,8,6,6,8,7,6,5,3,6,6,8,6,7,5,8,8,1,3,7,3,8,gemini-2.5-flash,0.8,1212,3202
1226,26,1,1,8,6,4,7,6,5,8,9,7,4,8,9,3,5,3,6,5,8,4,8,7,8,8,1,4,6,4,7,gemini-2.5-flash,0.8,1212,2521
1229,26,1,2,8,6,3,7,6,3,8,9,7,8,8,8,2,5,3,4,5,9,4,7,7,8,9,1,6,8,2,8,gemini-2.5-flash,0.8,1212,2610
1231,26,1,1,8,4,5,7,5,3,7,8,5,6,8,8,2,4,2,5,5,8,5,6,7,8,8,1,2,8,4,8,gemini-2.5-flash,0.8,1212,4041
11,2,1,2,6,4,5,4,3,2,4,3,3,5,6,7,2,5,2,3,6,5,2,6,7,5,6,1,5,7,7,6,gemini-2.5-flash,0,1441,2281
