id,essay_id,repeat,of3b,cf2b,cf3b,ef3b,af1b,of1,of2,of5,cf3,cf5,ef2,ef4,ef5,af1,af3,af6,nf1,nf4,nf6,model,input_tokens,output_tokens
1,1,0,3,4,6,6,5,2,4,6,5,3,7,6,7,5,4,5,6,6,6,gpt-5-mini-2025-08-07,918,1173
2,1,1,4,3,5,5,6,3,3,5,4,3,7,6,7,5,4,6,6,6,6,gpt-5-mini-2025-08-07,1174,1173
3,1,2,4,4,5,5,5,3,4,6,6,3,7,6,8,6,4,6,6,7,6,gpt-5-mini-2025-08-07,1047,1173
4,1,3,3,3,4,6,5,2,4,5,3,3,7,6,7,5,4,5,6,6,6,gpt-5-mini-2025-08-07,1238,1173
5,2,0,5,4,5,5,5,2,4,4,4,3,6,6,4,6,4,6,6,8,7,gpt-5-mini-2025-08-07,1110,1184
6,2,1,5,3,5,6,4,3,5,5,5,3,6,6,4,6,4,6,7,7,7,gpt-5-mini-2025-08-07,918,1184
7,2,2,5,4,6,6,5,4,4,6,5,4,5,6,4,5,4,6,6,7,7,gpt-5-mini-2025-08-07,854,1184
8,2,3,6,3,5,6,5,2,4,5,4,3,5,5,4,5,4,6,6,7,7,gpt-5-mini-2025-08-07,854,1184
9,3,0,8,4,5,5,3,6,6,8,4,3,3,5,5,3,3,5,6,6,6,gpt-5-mini-2025-08-07,918,1315
10,3,1,7,3,4,6,3,6,6,8,4,3,3,5,5,4,3,4,7,7,7,gpt-5-mini-2025-08-07,982,1315
11,3,2,8,3,4,6,3,7,6,8,4,3,4,6,5,4,2,5,7,7,7,gpt-5-mini-2025-08-07,1046,1315
12,3,3,8,3,4,6,3,6,6,7,3,2,4,5,4,4,2,5,8,7,7,gpt-5-mini-2025-08-07,982,1315
13,4,0,7,7,7,8,6,8,4,6,7,6,6,7,8,6,5,7,8,8,8,gpt-5-mini-2025-08-07,982,847
14,4,1,7,6,7,8,6,8,4,4,6,6,6,7,9,5,5,8,8,8,8,gpt-5-mini-2025-08-07,883,847
15,4,2,7,6,7,8,5,8,3,6,7,6,6,7,8,6,4,8,8,8,7,gpt-5-mini-2025-08-07,854,847
16,4,3,5,5,7,8,5,7,3,4,6,5,7,6,9,5,4,7,9,8,8,gpt-5-mini-2025-08-07,854,847
17,5,0,6,4,5,7,4,3,3,6,5,3,6,6,6,4,3,5,6,7,6,gpt-5-mini-2025-08-07,854,1517
18,5,1,6,4,5,6,5,2,3,6,5,4,6,5,5,5,3,4,6,7,7,gpt-5-mini-2025-08-07,854,1517
19,5,2,6,5,6,7,4,3,3,5,5,4,6,6,5,5,4,4,7,7,7,gpt-5-mini-2025-08-07,918,1517
20,5,3,6,5,5,7,4,3,2,6,4,4,7,6,5,5,3,4,5,6,5,gpt-5-mini-2025-08-07,982,1517
21,6,0,8,3,4,5,6,8,7,8,4,3,5,5,6,5,4,7,6,6,7,gpt-5-mini-2025-08-07,1046,1311
22,6,1,8,3,4,5,6,8,7,8,4,3,5,4,5,5,5,7,6,6,7,gpt-5-mini-2025-08-07,854,1311
23,6,2,8,4,5,5,7,7,7,8,5,3,5,5,3,5,6,7,6,6,7,gpt-5-mini-2025-08-07,1238,1311
24,6,3,8,4,5,5,6,8,7,7,4,3,5,5,5,6,5,7,6,3,6,gpt-5-mini-2025-08-07,1046,1311
25,7,0,7,5,3,6,3,5,3,5,3,3,5,5,6,6,2,4,5,6,5,gpt-5-mini-2025-08-07,1011,1236
26,7,1,6,4,3,5,4,5,4,6,3,3,5,6,5,6,3,4,5,6,6,gpt-5-mini-2025-08-07,1047,1236
27,7,2,7,3,3,6,4,7,5,6,3,2,6,7,6,6,3,4,5,7,6,gpt-5-mini-2025-08-07,1046,1236
28,7,3,6,4,3,5,5,5,4,6,3,3,5,5,5,6,4,6,5,5,6,gpt-5-mini-2025-08-07,982,1236
29,8,0,6,3,5,7,2,4,6,3,5,3,4,5,6,3,2,5,6,2,5,gpt-5-mini-2025-08-07,1174,977
30,8,1,6,2,3,6,4,4,5,5,3,2,5,6,6,3,2,5,5,2,4,gpt-5-mini-2025-08-07,982,977
31,8,2,7,3,3,6,6,3,7,6,3,3,4,5,5,2,2,7,6,3,6,gpt-5-mini-2025-08-07,1046,977
32,8,3,6,3,3,7,4,7,6,4,3,3,4,6,6,2,2,6,6,3,5,gpt-5-mini-2025-08-07,1046,977
33,9,0,6,4,4,6,6,5,3,5,3,3,6,6,6,3,5,7,8,6,8,gpt-5-mini-2025-08-07,1046,982
34,9,1,6,3,4,7,6,5,3,4,3,2,6,7,6,3,4,7,9,7,9,gpt-5-mini-2025-08-07,790,982
35,9,2,6,3,5,7,5,6,5,5,5,3,6,6,7,3,4,8,9,7,8,gpt-5-mini-2025-08-07,1110,982
36,9,3,6,3,5,7,7,5,3,5,5,4,6,7,6,3,5,8,9,7,9,gpt-5-mini-2025-08-07,854,982
